iv,B_D,W_D,theta_D,T_D,gamma_D,nu,nu2,L,U,sqrt_T_D,HR,estimate,lci,uci,model
bmi,1.7065226216529015e-7,5.306821046177574e-6,0.011455713802734252,5.494538534559393e-6,0.03416437744518835,131.815109586603,7710.729837084036,0.006860752271889043,0.01605067533357946,0.002344043202366243,"1.01 	 (1.01, 1.02)",1.011521581773343,1.0068843411477117,1.0161801793709133,Overall
egfr_ckdepi_2021,2.073080868896522e-7,8.454217961890704e-7,0.0028010852010933104,1.0734606917676878e-6,0.21243339167184735,16.910249401497488,199.4329637892407,7.580086237045456e-4,0.004844161778482075,0.0010360794813949786,"1 	 (1, 1)",1.002805011905734,1.0007582959848442,1.0048559136985546,Overall
female1,7.751532419994942e-6,9.612038880161194e-4,-0.0956754234581104,9.697305736781138e-4,0.008792839880930402,1355.6144416395491,116408.36250276833,-0.15671031129143853,-0.03464053562478231,0.031140497325478182,"0.91 	 (0.85, 0.97)",0.9087589300359616,0.8549516927993386,0.9659525793978808,Overall
hba1c,1.7222383012584696e-4,0.004039603481960688,0.17791905499977062,0.004229049695099119,0.0447964026901773,88.30297598847257,4484.9357869305495,0.05042594797356348,0.30541216202597776,0.06503114403959936,"1.19 	 (1.05, 1.36)",1.1947286100130972,1.0517189785496717,1.3571842675618442,Overall
homa2b,9.081761460136762e-9,3.974328643356754e-7,-0.0057730479209688506,4.074228019418258e-7,0.02451982942176334,223.05408737380085,14969.511225433615,-0.007024187817073835,-0.004521908024863866,6.38296797690405e-4,"0.99 	 (0.99, 1)",0.9942435840989723,0.993000424130142,0.9954883004082338,Overall
homa2ir,1.8455736761039877e-5,5.699261227165798e-4,0.233187235286904,5.902274331537237e-4,0.034395741873042396,130.46230940220346,7607.345612031881,0.18556312335983932,0.28081134721396867,0.02429459678928061,"1.26 	 (1.2, 1.32)",1.2626178638147936,1.2038961913491832,1.3242037656399919,Overall
ldlc,8.154363739081998e-9,2.0400291899399568e-7,0.0011504705407426592,2.1297271910698587e-7,0.042117131952868855,96.49117464797995,5073.701707398226,2.4575157493677343e-4,0.0020551895065485447,4.614896738898779e-4,"1 	 (1, 1)",1.0011511325858387,1.0002457817743289,1.0020573028560325,Overall
min_age,3.544411661611599e-7,2.530401349552797e-5,0.07236180508098908,2.569389877830525e-5,0.015174235959335109,504.91675973507813,39086.68540408882,0.06242660668193161,0.08229700348004654,0.005068914950786337,"1.08 	 (1.06, 1.09)",1.075044230173851,1.0644163350043758,1.085778241861853,Overall
raceNH Black,3.5825896265881997e-5,0.002285548799279967,0.13388456265708634,0.002324957285172437,0.016950197813869666,416.1154675952427,31325.13617476744,0.03937573823470117,0.22839338707947152,0.04821781087080206,"1.14 	 (1.04, 1.26)",1.1432608370336481,1.040161238582366,1.2565795503745627,Overall
raceNH White,1.4789305407126613e-5,0.0018818383288783974,0.0066232748081559815,0.0018981065648262367,0.008570770603350483,1421.492600176222,122518.80908663226,-0.07876783874452505,0.092014388360837,0.04356726483067576,"1.01 	 (0.92, 1.1)",1.0066452571977522,0.9242544756183262,1.096380597086974,Overall
