"threshold","sensitivity_mean","sensitivity_sd","specificity_mean","specificity_sd","F1_mean","F1_sd","c_index_mean","c_index_sd","cal_slope_mean","cal_slope_sd","model"
0.1,0.103333333333333,0.00343030250978569,0.999890410958904,0,0.186942456757574,0.00562287188054348,0.791135987218415,0,1.45746883543217,0.0094969870472638,"overall_coxph"
0.25,0.0158333333333333,0.00263523138347365,1,0,0.0311611814063281,0.00510177973261877,0.791135987218415,0,1.45746883543217,0.0094969870472638,"overall_coxph"
0.5,0,0,1,0,0,0,0.791135987218415,0,1.45746883543217,0.0094969870472638,"overall_coxph"
0.75,0,0,1,0,0,0,0.791135987218415,0,1.45746883543217,0.0094969870472638,"overall_coxph"
0.9,0,0,1,0,0,0,0.791135987218415,0,1.45746883543217,0.0094969870472638,"overall_coxph"
0.1,0.00333333333333333,0.00175682092231577,1,0,0.00663901486560696,0.00349226978505327,0.861607778059161,0,0.65213635643163,0.0042038724776156,"mard_coxph"
0.25,0,0,1,0,0,0,0.861607778059161,0,0.65213635643163,0.0042038724776156,"mard_coxph"
0.5,0,0,1,0,0,0,0.861607778059161,0,0.65213635643163,0.0042038724776156,"mard_coxph"
0.75,0,0,1,0,0,0,0.861607778059161,0,0.65213635643163,0.0042038724776156,"mard_coxph"
0.9,0,0,1,0,0,0,0.861607778059161,0,0.65213635643163,0.0042038724776156,"mard_coxph"
0.1,0.172708333333333,0.00207172692919115,0.991539726027397,0.000295867860914222,0.259025945081456,0.0033042906649164,0.876467164508503,0,0.998420781287233,0.00313132077675164,"mod_coxph"
0.25,0.127083333333333,0.00259837318525969,0.999156164383562,9.02216550518799e-05,0.222335387631723,0.00401863112916436,0.876467164508503,0,0.998420781287233,0.00313132077675164,"mod_coxph"
0.5,0.101041666666667,0.00202463607459906,0.999890410958904,0,0.183186185881612,0.00333230918452746,0.876467164508503,0,0.998420781287233,0.00313132077675164,"mod_coxph"
0.75,0.06,0.00215165741455968,1,0,0.113200564360589,0.00382226793310395,0.876467164508503,0,0.998420781287233,0.00313132077675164,"mod_coxph"
0.9,0.0341666666666667,0.00175682092231577,1,0,0.0660707250723837,0.00328360253612309,0.876467164508503,0,0.998420781287233,0.00313132077675164,"mod_coxph"
0.1,0.0260416666666667,0.00225025718694717,1,0,0.050752983206648,0.00427500368826432,0.899141582039255,0,0.199768596216688,0.00194684010636961,"sidd_coxph"
0.25,0.00604166666666667,0.000658807845868413,1,0,0.0120099997422747,0.00130399841660509,0.899141582039255,0,0.199768596216688,0.00194684010636961,"sidd_coxph"
0.5,0,0,1,0,0,0,0.899141582039255,0,0.199768596216688,0.00194684010636961,"sidd_coxph"
0.75,0,0,1,0,0,0,0.899141582039255,0,0.199768596216688,0.00194684010636961,"sidd_coxph"
0.9,0,0,1,0,0,0,0.899141582039255,0,0.199768596216688,0.00194684010636961,"sidd_coxph"
0.1,0,0,1,0,0,0,0.850246859154695,0,0.0352579201806174,0.000137887741030198,"sird_coxph"
0.25,0,0,1,0,0,0,0.850246859154695,0,0.0352579201806174,0.000137887741030198,"sird_coxph"
0.5,0,0,1,0,0,0,0.850246859154695,0,0.0352579201806174,0.000137887741030198,"sird_coxph"
0.75,0,0,1,0,0,0,0.850246859154695,0,0.0352579201806174,0.000137887741030198,"sird_coxph"
0.9,0,0,1,0,0,0,0.850246859154695,0,0.0352579201806174,0.000137887741030198,"sird_coxph"
