"","variable","min","qua1st","median","mean","qua3rd","max","NAs","iqr","lower_bound","upper_bound"
"1","age",18,53,60,60.5066640057026,69,109,131705,16,29,93
"2","height",91.44,160.5,167.64,168.220880427282,175.26,232.41,170975,14.76,138.36,197.4
"3","weight",22.6795,68.5,80.800003052,82.8250414979978,94.16736,237.95,142888,25.66736,29.99896,132.6684
"4","bmi",6.97347655357878,24.702835514,28.1077414636848,29.132282393858,32.5224489795918,93.4827826288306,141446,7.81961346559184,12.9734153156122,44.2518691779796
"5","wc",0.5,50,91,82.8701983813956,104,244,268093,54,-31,185
"6","sbp",41.6666666666667,112,124.333333333333,126.547483413451,139,284,239162,27,71.5,179.5
"7","dbp",0,68.5,76.6666666666667,78.4091643341247,86.6666666666667,207.666666666667,239165,18.1666666666667,41.25,113.916666666667
"8","hba1c",3.01,5.4,5.7,5.90657023784994,6.2,20,374706,0.8,4.2,7.4
"9","totalc",48,166.95,192,194.46006860735,219,973,315385,52.05,88.875,297.075
"10","ldlc",0,91,114,116.036912014571,138,504.6,348044,47,20.5,208.5
"11","hdlc",0,39,49,50.2256479388424,60,249,302314,21,7.5,91.5
"12","vldlc",1,15,22,25.5235860392135,32,890,439273,17,-10.5,57.5
"13","glucosef",2,92,100,106.238751701663,112,712,323138,20,62,142
"14","insulinf",0,8.52,14,19.7944939883262,24,944,411733,15.48,-14.7,47.22
"15","glucose2h",20,103,131,135.088955770741,162,625,471804,59,14.5,250.5
"16","tgl",4,75,107,127.658938933407,155,7776,347159,80,-45,275
"17","serumcreatinine",0,0.78,0.9,0.936254172088287,1.0999994278,20.799987793,371609,0.3199994278,0.3000008583,1.5799985695
"18","urinecreatinine",1,65,114,150.427631934207,171.8,12867.8287079305,450904,106.8,-95.2,332
"19","urinealbumin",0.04,0.33,0.69,2.43282934143457,1.32,993,460968,0.99,-1.155,2.805
"20","uacr",0.000725552050473186,2.15,4.11214953271028,16.8142280154709,7.9,10924,461088,5.75,-6.475,16.525
"21","egfr",3.0399989685,68.398257288,82.2,82.4307739449225,96.225396768,331.6,467200,27.82713948,26.657548068,137.966105988
"22","homa2b",2.7,80.8,108.8,120.724213807646,146.4,984.6,411851,65.6,-17.6,244.8
"23","homa2ir",0.323729362253156,0.974658869395712,1.57728706624606,2.15445899640213,2.77008310249307,250,411851,1.79542423309736,-1.71847748025033,5.46321945213912
