term,MARD,MOD,SIDD,SIRD
(Intercept),"11.17 (5.07, 24.61)","10.34 (4.74, 22.53)","2.32 (1.05, 5.12)","0 (0, 0.01)"
study_aric,"0.06 (0.04, 0.08)","0.17 (0.12, 0.23)","0.15 (0.11, 0.21)","6.45 (4.69, 8.87)"
study_cardia,"0.03 (0.02, 0.05)","0.28 (0.2, 0.41)","0.14 (0.1, 0.21)","10.27 (7.14, 14.78)"
study_dppos,"0.08 (0.06, 0.11)","0.06 (0.04, 0.08)","0.17 (0.12, 0.24)","35.75 (25.58, 49.96)"
study_jhs,"0.19 (0.1, 0.35)","0.08 (0.04, 0.15)","0.33 (0.18, 0.61)","34.88 (18.94, 64.24)"
race_nhwhi,"0.75 (0.62, 0.92)","1.49 (1.22, 1.8)","1.06 (0.87, 1.3)","1.24 (1.02, 1.52)"
race_nhbla,"0.63 (0.51, 0.77)","1.74 (1.42, 2.14)","0.97 (0.79, 1.19)","2.32 (1.88, 2.85)"
race_nhoth,"1 (0.78, 1.28)","1.11 (0.86, 1.43)","1.02 (0.79, 1.32)","1.47 (1.14, 1.89)"
female,"1.85 (1.58, 2.16)","0.74 (0.63, 0.86)","1.08 (0.92, 1.27)","1 (0.85, 1.17)"
serumcreatinine,"1.06 (0.94, 1.2)","0.98 (0.87, 1.1)","0.89 (0.78, 1)","0.84 (0.74, 0.95)"
uric_acid,"1.03 (0.98, 1.08)","0.98 (0.93, 1.02)","1.1 (1.05, 1.16)","1.13 (1.08, 1.19)"
age,"0.98 (0.97, 0.99)","1.01 (1, 1.02)","1 (0.99, 1)","1.01 (1.01, 1.02)"
bmi,"1.02 (1.01, 1.03)","0.98 (0.97, 0.99)","0.99 (0.98, 1)","1.01 (0.99, 1.02)"
hba1c,"1.2 (1.11, 1.3)","0.87 (0.81, 0.94)","1.2 (1.11, 1.29)","1.11 (1.03, 1.2)"
homa2ir,"0.98 (0.95, 1.01)","0.98 (0.96, 1.01)","0.98 (0.95, 1.01)","1.01 (0.99, 1.04)"
medial,"0.99 (0.99, 1)","1 (0.99, 1.01)","1.01 (1, 1.02)","1.01 (1, 1.02)"
