term,MARD,MOD,SIDD,SIRD
(Intercept),"1657.34 (399.58, 6874.15)","0.13 (0.02, 1.03)","0.18 (0.05, 0.67)","1.89 (0.47, 7.67)"
study_aric,"0.1 (0.08, 0.14)","0.64 (0.42, 0.98)","0.06 (0.05, 0.08)","3.34 (2.57, 4.35)"
study_cardia,"0 (0, 0)","11.34 (6.3, 20.4)","0.04 (0.02, 0.05)","0.78 (0.54, 1.14)"
study_dppos,"0.03 (0.02, 0.04)","0.04 (0.03, 0.06)","2.33 (1.73, 3.13)","82.02 (60.99, 110.29)"
study_jhs,"0.04 (0.02, 0.09)","0.34 (0.11, 1.12)","1.07 (0.51, 2.26)","83.4 (38.71, 179.7)"
race_nhwhi,"0.35 (0.15, 0.83)","0.02 (0.01, 0.08)","0.09 (0.04, 0.2)","0.7 (0.29, 1.67)"
race_nhbla,"0.41 (0.17, 0.98)","0.02 (0.01, 0.09)","0.14 (0.06, 0.33)","0.88 (0.36, 2.12)"
race_nhoth,"0.21 (0.08, 0.57)","0.06 (0.01, 0.27)","0.08 (0.03, 0.21)","0.63 (0.23, 1.71)"
race_hisp,"0.52 (0.21, 1.3)","0.04 (0.01, 0.17)","0.1 (0.04, 0.24)","0.29 (0.12, 0.73)"
hba1c,"1.31 (1.16, 1.49)","1.26 (1.08, 1.47)","1.57 (1.41, 1.75)","1.36 (1.21, 1.51)"
uric_acid,"1.2 (1.11, 1.3)","1.03 (0.91, 1.15)","1.13 (1.06, 1.21)","0.99 (0.92, 1.07)"
wc,"1.06 (1.05, 1.07)","0.98 (0.97, 0.99)","1.01 (1.01, 1.02)","0.98 (0.97, 0.98)"
glucosef,"0.97 (0.96, 0.98)","1 (0.99, 1.02)","1.01 (1.01, 1.02)","0.99 (0.98, 1)"
age,"0.82 (0.81, 0.82)","1.07 (1.06, 1.09)","0.96 (0.95, 0.97)","0.97 (0.96, 0.97)"
glucose2h,"1.01 (1.01, 1.01)","1.02 (1.01, 1.02)","1.02 (1.02, 1.02)","1.02 (1.01, 1.02)"
insulinf,"1 (0.99, 1.01)","0.97 (0.96, 0.98)","0.97 (0.96, 0.98)","0.95 (0.94, 0.96)"
alt,"1.01 (1, 1.01)","1 (0.99, 1.01)","1.01 (1, 1.02)","1 (0.99, 1)"
female,"1.57 (1.34, 1.83)","0.57 (0.46, 0.71)","1.14 (0.99, 1.31)","0.78 (0.67, 0.9)"
