term,MARD,MOD,SIDD,SIRD
studycardia,"0.34 (0.27, 0.42)",NA,NA,NA
studydppos,"0.62 (0.59, 0.65)",NA,NA,NA
studyjhs,"0.57 (0.48, 0.68)",NA,NA,NA
studymesa,"0.12 (0.11, 0.13)",NA,NA,NA
serumcreatinine,"1 (0.95, 1.05)",NA,NA,NA
race_ethNH Black,"0.85 (0.81, 0.9)",NA,NA,NA
race_ethNH Other,"0.92 (0.86, 0.99)",NA,NA,NA
race_ethNH White,"0.87 (0.82, 0.91)",NA,NA,NA
female,"0.93 (0.89, 0.97)",NA,NA,NA
uric_acid,"1.02 (1.01, 1.03)",NA,NA,NA
hba1c,"0.87 (0.85, 0.9)",NA,NA,NA
bmi,"0.91 (0.9, 0.91)",NA,NA,NA
age,"0.01 (0.01, 0.02)",NA,NA,NA
homa2ir,"0.88 (0.87, 0.9)",NA,NA,NA
medial,"1.01 (1.01, 1.01)",NA,NA,NA
studycardia,NA,"9.23 (8.07, 10.57)",NA,NA
studydppos,NA,"5.83 (5.18, 6.56)",NA,NA
studyjhs,NA,"7.07 (6.07, 8.23)",NA,NA
studymesa,NA,"1.03 (0.84, 1.26)",NA,NA
serumcreatinine,NA,"1.01 (0.97, 1.04)",NA,NA
race_ethNH Black,NA,"1.13 (1.08, 1.19)",NA,NA
race_ethNH Other,NA,"0.94 (0.87, 1.01)",NA,NA
race_ethNH White,NA,"1.05 (1.01, 1.1)",NA,NA
female,NA,"1.16 (1.12, 1.21)",NA,NA
uric_acid,NA,"1 (0.99, 1.01)",NA,NA
hba1c,NA,"1.04 (1.02, 1.06)",NA,NA
bmi,NA,"1.04 (1.03, 1.04)",NA,NA
age,NA,"0 (0, 0)",NA,NA
homa2ir,NA,"1 (1, 1.01)",NA,NA
medial,NA,"0.99 (0.99, 0.99)",NA,NA
studycardia,NA,NA,"0.59 (0.4, 0.87)",NA
studydppos,NA,NA,"0.18 (0.13, 0.26)",NA
studyjhs,NA,NA,"0.66 (0.42, 1.04)",NA
studymesa,NA,NA,"0.86 (0.65, 1.15)",NA
serumcreatinine,NA,NA,"1 (0.89, 1.12)",NA
race_ethNH Black,NA,NA,"0.77 (0.61, 0.97)",NA
race_ethNH Other,NA,NA,"0.57 (0.42, 0.77)",NA
race_ethNH White,NA,NA,"0.38 (0.29, 0.49)",NA
female,NA,NA,"0.42 (0.35, 0.52)",NA
uric_acid,NA,NA,"0.96 (0.9, 1.02)",NA
hba1c,NA,NA,"1.53 (1.46, 1.61)",NA
bmi,NA,NA,"1.01 (1, 1.03)",NA
age,NA,NA,"0 (0, 0)",NA
homa2ir,NA,NA,"1 (0.96, 1.04)",NA
medial,NA,NA,"1 (0.99, 1.02)",NA
studycardia,NA,NA,NA,"1.63 (0.64, 4.14)"
studydppos,NA,NA,NA,"20.98 (15, 29.35)"
studyjhs,NA,NA,NA,"2.04 (0.8, 5.21)"
studymesa,NA,NA,NA,"106.79 (76.56, 148.96)"
serumcreatinine,NA,NA,NA,"1.07 (0.97, 1.18)"
race_ethNH Black,NA,NA,NA,"0.67 (0.6, 0.75)"
race_ethNH Other,NA,NA,NA,"0.88 (0.76, 1.02)"
race_ethNH White,NA,NA,NA,"0.89 (0.81, 0.98)"
female,NA,NA,NA,"0.9 (0.83, 0.98)"
uric_acid,NA,NA,NA,"1.09 (1.06, 1.11)"
hba1c,NA,NA,NA,"0.87 (0.83, 0.91)"
bmi,NA,NA,NA,"1.03 (1.02, 1.04)"
age,NA,NA,NA,"0 (0, 0)"
homa2ir,NA,NA,NA,"1.02 (1.01, 1.02)"
medial,NA,NA,NA,"0.99 (0.99, 1)"
