iv,B_D,W_D,theta_D,T_D,gamma_D,nu,nu2,L,U,sqrt_T_D,HR,estimate,lci,uci,model
bmi,1.1483581005351393e-6,2.990182359180132e-6,0.02865757411524349,4.253376269768786e-6,0.2969861659235054,13.765198643250613,102.03991075131049,0.02456688919621952,0.03274825903426746,0.0020623715159419713,"1.03 	 (1.02, 1.03)",1.0290721531935303,1.0248711416214202,1.0332903849775401,Overall
egfr_ckdepi_2021,3.7516195733300225e-7,4.4021324735717545e-7,2.3435196217122132e-4,8.52891400423478e-7,0.4838577958007308,11.022512070913931,38.44209291372855,-0.0016345131468843647,0.002103217071226807,9.235211965209451e-4,"1 	 (1, 1)",1.0002343794247375,0.9983668219422234,1.0021054303836714,Overall
female1,6.727900697112667e-5,4.987191054481619e-4,-0.12299852933347333,5.727260131164013e-4,0.1292186944077187,25.216923497548212,539.0037813744,-0.1700093505244239,-0.07598770814252276,0.023931694739746313,"0.88 	 (0.84, 0.93)",0.8842649630187465,0.8436569279247922,0.9268275989221174,Overall
hba1c,0.0038093390940109138,8.218960382214425e-4,0.485429670016723,0.005012169041633448,0.8360198885164517,9.356521341238436,12.876839749597329,0.33233391759505104,0.6385254224383949,0.07079667394470907,"1.62 	 (1.39, 1.89)",1.6248730180935247,1.3942183248228275,1.8936864319753288,Overall
homa2b,1.1982690266141083e-6,7.832558991743806e-8,-0.00327694997236744,1.3964215191929574e-6,0.9439097802197253,9.107279714212497,10.10139926910044,-0.005906369695599592,-6.475302491352882e-4,0.001181702804935724,"1 	 (0.99, 1)",0.9967284133681277,0.9941110386157209,0.9993526793533327,Overall
homa2ir,0.002455764441174007,9.734980825494751e-5,0.05718214023602245,0.0027986906935463553,0.9652159459852311,9.064984541016223,9.660364942578576,-0.06125647603727489,0.17562075650931977,0.05290265299156891,"1.06 	 (0.94, 1.19)",1.0588486517762263,0.940581972100707,1.1919859200196223,Overall
ldlc,1.041216586259979e-7,8.989737915108864e-8,7.20747247738095e-5,2.0443120363968633e-7,0.5602560785704007,10.468262397281851,28.67275046418009,-8.531154749618881e-4,9.972649245095068e-4,4.521406900951145e-4,"1 	 (1, 1)",1.0000720773222191,0.9991472483245832,1.0009977623585185,Overall
min_age,2.6577172864485952e-6,1.08956609364576e-5,0.07154931110754463,1.3819149951551055e-5,0.21155346206843378,16.95859326211911,201.0954459328171,0.06421920402472406,0.0788794181903652,0.0037174117274726315,"1.07 	 (1.07, 1.08)",1.0741711179628852,1.0663261161209985,1.0820738357820594,Overall
race_cleanNH Black,8.697097083508476e-4,0.0011011060819761987,0.14244987178632662,0.0020577867611621314,0.46490758772578006,11.190962057128027,41.63985809226507,0.05088050207916327,0.23401924149348996,0.04536283458032722,"1.15 	 (1.05, 1.26)",1.1530952769021483,1.0521971503985639,1.2636688068489725,Overall
race_cleanNH White,1.9271124116663712e-4,8.511132842852118e-4,-0.1403065037077522,0.0010630956495685127,0.1994010279031241,17.677868895457603,226.35376568691453,-0.20455493607669056,-0.07605807133881383,0.032605147593110395,"0.87 	 (0.82, 0.93)",0.8690918147078417,0.8150099672375837,0.9267623866641448,Overall
