subtype,variable,est,value,type,group
MARD,age,mean,67.22662821437154,Continuous,NA
MARD,age,sd,8.067557310266361,Continuous,NA
MARD,age,median,67.02465753424657,Continuous,NA
MARD,age,q25,61.02465753424657,Continuous,NA
MARD,age,q75,72.64657534246575,Continuous,NA
MARD,age,min,48.52602739726027,Continuous,NA
MARD,age,max,100,Continuous,NA
MARD,age,freq,456,Continuous,NA
MARD,age,missing,0,Continuous,NA
MARD,dmagediag,mean,67.22224224945927,Continuous,NA
MARD,dmagediag,sd,8.076120216272155,Continuous,NA
MARD,dmagediag,median,67.02465753424657,Continuous,NA
MARD,dmagediag,q25,61.02465753424657,Continuous,NA
MARD,dmagediag,q75,72.64657534246575,Continuous,NA
MARD,dmagediag,min,48,Continuous,NA
MARD,dmagediag,max,100,Continuous,NA
MARD,dmagediag,freq,456,Continuous,NA
MARD,dmagediag,missing,0,Continuous,NA
MARD,bmi,mean,28.78254202456647,Continuous,NA
MARD,bmi,sd,3.554753021557977,Continuous,NA
MARD,bmi,median,28.751980267613604,Continuous,NA
MARD,bmi,q25,26.24907776256433,Continuous,NA
MARD,bmi,q75,31.134517422819123,Continuous,NA
MARD,bmi,min,18.423446531,Continuous,NA
MARD,bmi,max,42.96902752813555,Continuous,NA
MARD,bmi,freq,456,Continuous,NA
MARD,bmi,missing,0,Continuous,NA
MARD,hba1c,mean,6.065131578947368,Continuous,NA
MARD,hba1c,sd,0.5540968140607079,Continuous,NA
MARD,hba1c,median,6.1,Continuous,NA
MARD,hba1c,q25,5.7,Continuous,NA
MARD,hba1c,q75,6.5,Continuous,NA
MARD,hba1c,min,4.4,Continuous,NA
MARD,hba1c,max,7.9,Continuous,NA
MARD,hba1c,freq,456,Continuous,NA
MARD,hba1c,missing,0,Continuous,NA
MARD,homa2b,mean,115.36735218508997,Continuous,NA
MARD,homa2b,sd,46.568974323227245,Continuous,NA
MARD,homa2b,median,109.5,Continuous,NA
MARD,homa2b,q25,80.6,Continuous,NA
MARD,homa2b,q75,139.1,Continuous,NA
MARD,homa2b,min,23.4,Continuous,NA
MARD,homa2b,max,271,Continuous,NA
MARD,homa2b,freq,389,Continuous,NA
MARD,homa2b,missing,67,Continuous,NA
MARD,homa2ir,mean,2.8026399835888833,Continuous,NA
