"model","threshold","sensitivity","specificity","f1","c_index","cal_slope"
"overall_coxph",0.1,"0.031 (0.024)","1.000 (0.000)","0.060 (0.043)","0.863 (0.002)","1.499 (0.033)"
"overall_coxph",0.25,"0.013 (0.009)","1.000 (0.000)","0.025 (0.017)","0.863 (0.002)","1.499 (0.033)"
"overall_coxph",0.5,"0.006 (0.005)","1.000 (0.000)","0.012 (0.009)","0.863 (0.002)","1.499 (0.033)"
"overall_coxph",0.75,"0.005 (0.004)","1.000 (0.000)","0.009 (0.007)","0.863 (0.002)","1.499 (0.033)"
"overall_coxph",0.9,"0.003 (0.004)","1.000 (0.000)","0.006 (0.007)","0.863 (0.002)","1.499 (0.033)"
"mard_coxph",0.1,"0.005 (0.005)","1.000 (0.000)","0.011 (0.010)","0.892 (0.004)","0.744 (0.032)"
"mard_coxph",0.25,"0.001 (0.002)","1.000 (0.000)","0.002 (0.004)","0.892 (0.004)","0.744 (0.032)"
"mard_coxph",0.5,"0.000 (0.001)","1.000 (0.000)","0.001 (0.002)","0.892 (0.004)","0.744 (0.032)"
"mard_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.892 (0.004)","0.744 (0.032)"
"mard_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.892 (0.004)","0.744 (0.032)"
"mod_coxph",0.1,"0.182 (0.101)","0.991 (0.008)","0.254 (0.118)","0.915 (0.003)","0.752 (0.029)"
"mod_coxph",0.25,"0.077 (0.053)","0.999 (0.001)","0.136 (0.089)","0.915 (0.003)","0.752 (0.029)"
"mod_coxph",0.5,"0.030 (0.021)","1.000 (0.000)","0.057 (0.039)","0.915 (0.003)","0.752 (0.029)"
"mod_coxph",0.75,"0.016 (0.011)","1.000 (0.000)","0.030 (0.021)","0.915 (0.003)","0.752 (0.029)"
"mod_coxph",0.9,"0.010 (0.008)","1.000 (0.000)","0.019 (0.015)","0.915 (0.003)","0.752 (0.029)"
"sidd_coxph",0.1,"0.013 (0.012)","1.000 (0.000)","0.026 (0.023)","0.923 (0.019)","0.896 (0.100)"
"sidd_coxph",0.25,"0.007 (0.007)","1.000 (0.000)","0.014 (0.014)","0.923 (0.019)","0.896 (0.100)"
"sidd_coxph",0.5,"0.005 (0.007)","1.000 (0.000)","0.009 (0.013)","0.923 (0.019)","0.896 (0.100)"
"sidd_coxph",0.75,"0.003 (0.005)","1.000 (0.000)","0.005 (0.011)","0.923 (0.019)","0.896 (0.100)"
"sidd_coxph",0.9,"0.002 (0.005)","1.000 (0.000)","0.004 (0.010)","0.923 (0.019)","0.896 (0.100)"
"sird_coxph",0.1,"0.003 (0.003)","1.000 (0.000)","0.006 (0.006)","0.863 (0.007)","1.381 (0.067)"
"sird_coxph",0.25,"0.001 (0.002)","1.000 (0.000)","0.002 (0.003)","0.863 (0.007)","1.381 (0.067)"
"sird_coxph",0.5,"0.000 (0.001)","1.000 (0.000)","0.001 (0.002)","0.863 (0.007)","1.381 (0.067)"
"sird_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.863 (0.007)","1.381 (0.067)"
"sird_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.863 (0.007)","1.381 (0.067)"
