"model","threshold","sensitivity","specificity","f1","c_index","cal_slope"
"overall_coxph",0.1,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.815 (0.001)","1.337 (0.014)"
"overall_coxph",0.25,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.815 (0.001)","1.337 (0.014)"
"overall_coxph",0.5,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.815 (0.001)","1.337 (0.014)"
"overall_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.815 (0.001)","1.337 (0.014)"
"overall_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.815 (0.001)","1.337 (0.014)"
"mard_coxph",0.1,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.872 (0.001)","0.598 (0.016)"
"mard_coxph",0.25,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.872 (0.001)","0.598 (0.016)"
"mard_coxph",0.5,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.872 (0.001)","0.598 (0.016)"
"mard_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.872 (0.001)","0.598 (0.016)"
"mard_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.872 (0.001)","0.598 (0.016)"
"mod_coxph",0.1,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.893 (0.001)","0.957 (0.008)"
"mod_coxph",0.25,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.893 (0.001)","0.957 (0.008)"
"mod_coxph",0.5,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.893 (0.001)","0.957 (0.008)"
"mod_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.893 (0.001)","0.957 (0.008)"
"mod_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.893 (0.001)","0.957 (0.008)"
"sidd_coxph",0.1,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.883 (0.003)","0.153 (0.009)"
"sidd_coxph",0.25,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.883 (0.003)","0.153 (0.009)"
"sidd_coxph",0.5,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.883 (0.003)","0.153 (0.009)"
"sidd_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.883 (0.003)","0.153 (0.009)"
"sidd_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.883 (0.003)","0.153 (0.009)"
"sird_coxph",0.1,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.800 (0.002)","0.783 (0.026)"
"sird_coxph",0.25,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.800 (0.002)","0.783 (0.026)"
"sird_coxph",0.5,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.800 (0.002)","0.783 (0.026)"
"sird_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.800 (0.002)","0.783 (0.026)"
"sird_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.800 (0.002)","0.783 (0.026)"
